"","Film","Genre","Rotten.Tomatoes.Ratings..","Audience.Ratings..","Budget..million...","Year.of.release"
"1","(500) Days of Summer ","Comedy",87,81,8,2009
"2","17 Again ","Comedy",55,70,20,2009
"3","27 Dresses","Comedy",40,71,30,2008
"4","30 Minutes or Less","Comedy",43,48,28,2011
"5","50/50","Comedy",93,93,8,2011
"6","A Very Harold and Kumar Christmas","Comedy",72,71,19,2011
"7","Adventureland ","Comedy",89,56,10,2009
"8","All About Steve ","Comedy",6,35,15,2009
"9","Arthur","Comedy",26,49,40,2011
"10","Away We Go ","Comedy",67,74,21,2009
"11","Baby Mama","Comedy",63,59,70,2008
"12","Bad Teacher","Comedy",44,38,20,2011
"13","Bandslam ","Comedy",79,60,20,2009
"14","Be Kind, Rewind","Comedy",65,57,20,2008
"15","Bedtime Stories","Comedy",25,63,80,2008
"16","Beginners","Comedy",84,80,4,2010
"17","Blades of Glory","Comedy",69,66,61,2007
"18","Bride Wars ","Comedy",11,56,30,2009
"19","Bridesmaids","Comedy",90,77,33,2011
"20","Bruno ","Comedy",68,48,42,2009
"21","Burn After Reading","Comedy",78,64,37,2008
"22","Cedar Rapids","Comedy",86,61,10,2011
"23","City Island","Comedy",81,77,6,2009
"24","Confessions of a Shopaholic ","Comedy",24,53,70,2009
"25","Couples Retreat ","Comedy",12,47,60,2009
"26","Cyrus","Comedy",80,51,7,2010
"27","Daddy Day Camp","Comedy",1,63,6,2007
"28","Date Night","Comedy",66,58,55,2010
"29","Death at a Funeral","Comedy",40,48,21,2007
"30","Definitely, Maybe","Comedy",71,72,7,2008
"31","Diary of a Wimpy Kid","Comedy",53,49,15,2010
"32","Diary of a Wimpy Kid 2: Rodrick Rules","Comedy",47,63,21,2011
"33","Did You Hear About the Morgans? ","Comedy",12,31,58,2009
"34","Dinner for Schmucks","Comedy",43,47,69,2010
"35","Disaster Movie","Comedy",2,28,20,2008
"36","Drillbit Taylor","Comedy",26,49,40,2008
"37","Due Date","Comedy",40,56,50,2010
"38","Easy A","Comedy",85,75,8,2010
"39","Enchanted","Comedy",93,80,85,2007
"40","Epic Movie","Comedy",2,38,20,2007
"41","Evan Almighty","Comedy",23,56,175,2007
"42","Extract ","Comedy",62,37,8,2009
"43","Fame","Comedy",25,43,18,2009
"44","Fired Up! ","Comedy",22,52,20,2009
"45","First Sunday","Comedy",13,59,13,2008
"46","Forgetting Sarah Marshall","Comedy",85,75,30,2008
"47","Four Christmases","Comedy",26,52,80,2008
"48","Funny People ","Comedy",68,58,75,2009
"49","Furry Vengeance	","Comedy",8,36,35,2010
"50","Get Him to the Greek","Comedy",73,63,40,2010
"51","Ghost Town","Comedy",85,60,20,2008
"52","Ghosts of Girlfriends Past ","Comedy",27,47,50,2009
"53","Going the Distance","Comedy",53,56,32,2010
"54","Good Luck Chuck","Comedy",3,61,25,2007
"55","Greenberg","Comedy",75,40,0,2010
"56","Grown Ups	","Comedy",10,59,80,2010
"57","Gulliver's Travels","Comedy",21,31,112,2010
"58","Hall Pass","Comedy",35,44,36,2011
"59","Hannah Montana: The Movie ","Comedy",44,66,35,2009
"60","He's Just Not That Into You ","Comedy",42,60,25,2009
"61","High School Musical 3: Senior Year","Comedy",65,76,11,2008
"62","Horrible Bosses","Comedy",69,72,35,2011
"63","Hotel for Dogs ","Comedy",46,57,35,2009
"64","I Love You Beth Cooper ","Comedy",14,38,18,2009
"65","I Love You Phillip Morris","Comedy",71,57,15,2009
"66","I Love You, Man ","Comedy",83,72,40,2009
"67","I Now Pronounce You Chuck and Larry","Comedy",13,73,85,2007
"68","I'm Still Here","Comedy",52,38,0,2010
"69","Imagine That ","Comedy",38,44,55,2009
"70","In the Land of Women","Comedy",43,72,10,2007
"71","It's Complicated ","Comedy",56,63,85,2009
"72","Jack and Jill","Comedy",4,59,79,2011
"73","Jennifer's Body ","Comedy",42,37,16,2009
"74","Johnny English Reborn","Comedy",38,55,45,2011
"75","Juno","Comedy",94,89,8,2007
"76","Just Wright","Comedy",45,58,12,2010
"77","Knocked Up","Comedy",91,83,33,2007
"78","Leap Year","Comedy",21,49,19,2010
"79","Leatherheads","Comedy",52,41,58,2008
"80","Letters to Juliet","Comedy",40,62,30,2010
"81","License to Wed","Comedy",8,55,35,2007
"82","Life as We Know It","Comedy",28,62,38,2010
"83","Little Fockers","Comedy",9,40,100,2010
"84","Love & Other Drugs","Comedy",48,55,30,2010
"85","Mad Money","Comedy",22,51,22,2008
"86","Made of Honor","Comedy",13,61,40,2008
"87","Mamma Mia!","Comedy",53,76,66,2008
"88","Marley and Me","Comedy",63,77,55,2008
"89","Marmaduke","Comedy",9,46,50,2010
"90","Meet the Spartans","Comedy",2,31,30,2008
"91","Miss Pettigrew Lives for a Day","Comedy",78,70,60,2008
"92","Morning Glory","Comedy",54,54,40,2010
"93","Mr. Popper's Penguins","Comedy",47,54,55,2011
"94","My Best Friend's Girl","Comedy",14,51,20,2008
"95","My Life in Ruins ","Comedy",9,43,17,2009
"96","Nanny McPhee Returns","Comedy",77,54,35,2010
"97","Nick and Norah's Infinite Playlist","Comedy",73,67,10,2008
"98","No Reservations","Comedy",39,64,28,2007
"99","No Strings Attached","Comedy",49,57,25,2011
"100","Norbit","Comedy",9,56,60,2007
"101","Observe and Report ","Comedy",51,40,18,2009
"102","Old Dogs ","Comedy",5,49,35,2009
"103","Our Family Wedding","Comedy",14,49,0,2010
"104","Our Idiot Brother","Comedy",68,79,5,2011
"105","Over Her Dead Body","Comedy",15,47,10,2008
"106","Paul","Comedy",72,70,40,2011
"107","Penelope","Comedy",52,74,15,2008
"108","Piranha 3-D","Comedy",74,45,24,2010
"109","Pirate Radio (The Boat that Rocked, UK)","Comedy",60,72,50,2009
"110","Please Give","Comedy",88,62,3,2010
"111","Post Grad ","Comedy",7,31,15,2009
"112","Role Models","Comedy",77,75,28,2008
"113","Semi-Pro","Comedy",21,41,3,2008
"114","Sex and the City","Comedy",49,81,58,2008
"115","Sex and the City 2","Comedy",15,49,100,2010
"116","She's Out of My League","Comedy",57,60,20,2010
"117","Smart People","Comedy",50,41,7,2008
"118","Solitary Man","Comedy",81,47,15,2009
"119","Soul Men","Comedy",45,42,0,2008
"120","Step Brothers","Comedy",54,68,65,2008
"121","Sunshine Cleaning ","Comedy",72,59,5,2008
"122","Superbad","Comedy",88,87,20,2007
"123","Superhero Movie","Comedy",15,36,65,2008
"124","Swing Vote","Comedy",36,44,20,2008
"125","Take Me Home Tonight","Comedy",28,46,25,2011
"126","Taking Woodstock ","Comedy",48,48,29,2009
"127","The Back-up Plan","Comedy",20,47,35,2010
"128","The Big Year","Comedy",38,62,41,2011
"129","The Change Up","Comedy",24,53,52,2011
"130","The Dilemma","Comedy",23,31,70,2011
"131","The Game Plan","Comedy",27,75,22,2007
"132","The Hangover ","Comedy",79,87,35,2009
"133","The Hangover Part II","Comedy",35,58,80,2011
"134","The Heartbreak Kid","Comedy",30,41,60,2007
"135","The House Bunny","Comedy",39,54,25,2008
"136","The Informant! ","Comedy",78,42,22,2009
"137","The Invention of Lying ","Comedy",56,47,19,2009
"138","The Joneses","Comedy",61,47,10,2011
"139","The Kids Are All Right","Comedy",94,72,4,2010
"140","The Longshots","Comedy",39,39,30,2008
"141","The Love Guru","Comedy",14,38,62,2008
"142","The Men Who Stare at Goats ","Comedy",52,43,25,2009
"143","The Muppets","Comedy",97,87,45,2011
"144","The Nanny Diaries","Comedy",33,52,20,2007
"145","The Proposal ","Comedy",43,74,40,2009
"146","The Simpsons Movie","Comedy",90,78,75,2007
"147","The Sitter","Comedy",22,43,25,2011
"148","The Switch","Comedy",52,44,19,2010
"149","The Ugly Truth ","Comedy",14,68,38,2009
"150","Tooth Fairy","Comedy",16,46,48,2010
"151","Tower Heist","Comedy",68,61,75,2011
"152","Tropic Thunder","Comedy",83,69,90,2008
"153","Vacancy","Comedy",55,46,19,2007
"154","Valentine's Day","Comedy",17,54,52,2010
"155","Vampires Suck","Comedy",4,32,20,2010
"156","Walk Hard: The Dewey Cox Story","Comedy",75,55,35,2007
"157","We Bought a Zoo","Comedy",63,79,50,2011
"158","Welcome Home, Roscoe Jenkins","Comedy",24,64,35,2008
"159","What Happens in Vegas","Comedy",28,72,35,2008
"160","What's Your Number","Comedy",24,50,20,2011
"161","Whatever Works ","Comedy",50,63,15,2009
"162","When in Rome","Comedy",15,44,0,2010
"163","Why Did I Get Married Too?","Comedy",27,67,20,2010
"164","Wild Hogs","Comedy",14,72,90,2007
"165","Yes Man","Comedy",43,72,70,2008
"166","Yogi Bear","Comedy",14,36,80,2010
"167","You Again","Comedy",18,45,20,2010
"168","You Don't Mess with the Zohan","Comedy",36,50,80,2008
"169","You Will Meet a Tall Dark Stranger","Comedy",43,35,22,2010
"170","Your Highness","Comedy",26,36,50,2011
"171","Youth in Revolt","Comedy",68,52,18,2009
"172","Zookeeper","Comedy",14,42,80,2011
